"customer_id","customer_name","segment","revenue","profit"
"SM-20320","Sean Miller","Home Office","25043.05","-1980.74"
"TC-20980","Tamara Chand","Corporate","19052.22","8981.32"
"RB-19360","Raymond Buch","Consumer","15117.34","6976.10"
"TA-21385","Tom Ashbrook","Home Office","14595.62","4703.79"
"AB-10105","Adrian Barton","Consumer","14473.57","5444.81"
"KL-16645","Ken Lonsdale","Consumer","14175.23","806.86"
"SC-20095","Sanjit Chand","Consumer","14142.33","5757.41"
"HL-15040","Hunter Lopez","Consumer","12873.30","5622.43"
"SE-20110","Sanjit Engle","Consumer","12209.44","2650.68"
"CC-12370","Christopher Conant","Consumer","12129.07","2177.05"
