"customer_id","customer_name","segment","order_count","revenue"
"EP-13915","Emily Phan","Consumer","17","5478.06"
"PG-18820","Patrick Gardner","Consumer","13","3086.91"
"NS-18640","Noel Staavos","Corporate","13","2964.82"
"SH-19975","Sally Hughsby","Corporate","13","3406.84"
"CK-12205","Chloris Kastensmidt","Consumer","13","3154.86"
"EA-14035","Erin Ashbrook","Corporate","13","2846.71"
"ZC-21910","Zuschuss Carroll","Consumer","13","8025.71"
"JE-15745","Joel Eaton","Consumer","13","6760.82"
"CL-12565","Clay Ludtke","Consumer","12","10880.55"
"AH-10690","Anna Haberlin","Corporate","12","7888.29"
